	vclaim	title
90	A portion of money from every Bang Energy purchase goes toward funding U.S. President Donald Trump's 2020 re-election efforts.	Does a Portion of Each Bang Energy Sale Go Toward Trump’s Campaign?
2807	A video shows a piece of raw chicken meat 'twitching' off of a dinner table.	Is This ‘Zombie Chicken’ Video Real?
9671	There is a point in the middle of the Pacific Ocean so far from land that it’s likely the closest humans to it are aboard the International Space Station.	Is There a Point in the Ocean Where the Closest Human Could Be an Astronaut?
7048	Photograph shows a chupacabra’s head on a fence.	Chupacabra
6998	Photograph shows Queen Elizabeth seated next to a colonel whose kilt was a little too revealing.	Crown Jewels
9128	The U.S. standard railroad gauge derives directly from the width of Imperial Roman war chariots.	Are U.S. Railroad Gauges Based on Roman Chariots?
8841	The FDA has issued a warning about a possible connection between Hepatitis A and green onions.	Green Onions and Hepatitis A
4756	During the Beatles' first appearance on 'The Ed Sullivan Show', crime rates plummeted all over the U.S.	Did Crime Go Down When the Beatles’ Debuted on ‘Ed Sullivan’?
4938	Eva Braun, Adolf Hitler's mistress turned wife, said that she hated seeing children separated from their parents but that people shouldn't blame the Führer.	Did Eva Braun Say She ‘Hated Seeing Children Separated from Their Parents’ But Not to Blame Hitler?
3384	An administrative note penned in the margin of an FBI memo is misinterpreted by Bureau staff, leading them to cast a wary eye upon Mexico and Canada.	Watch the Borders
8952	The NRA is a tax-exempt nonprofit organization.	Is the NRA a Tax-Exempt Nonprofit Organization?
4259	Comedian Dennis Miller authored “A Brief Overview of the Situation,” an essay about the Palestinian-Israeli conflict.	A Brief Overview of the Situation
4115	Charles Shaw wine was sold cheaply because airlines could no longer use corkscrews after 9/11 and dumped their stocks of wine.	Why Is Charles Shaw Wine So Cheap?
6790	Opinion piece by London Daily Telegraph editor criticizes President Obama’s handling of foreign policy.	Alex Singleton on Barack Obama
7683	President Obama failed to tip a steakhouse waiter who was actually a prominent restauranteur.	Did President Obama ‘Stiff’ the Wrong Waiter?
6535	Musician Ringo Starr admitted that Paul McCartney passed away in 1966 and was replaced by a lookalike.	Did Paul McCartney Die in 1966?
4714	Due to budget cuts, U.S. troops deployed overseas are no longer provided with breakfast.	No More Breakfast for U.S. Troops
5780	In his book Earth in the Balance, Senator Al Gore wrote that Christians are a “blight on the environment” and that “to believe in Bible prophecy is unforgivable.”	Earth in the Balance
8200	Sen. Chuck Schumer's name and/or phone number were found in 'Hollywood Madam' Heidi Fleiss's black book of clients.	Was Sen. Chuck Schumer a Client of ‘Hollywood Madam’ Heidi Fleiss?
257	Clown masks have been banned in the United States, and wearing one can result in a $50,000 fine.	Clown Masks Banned in United States, Carries $50,000 Fine
4154	Children who watch at least 30 minutes of “Peppa Pig” per day have a 56 percent higher probability of developing autism.	Does Peppa Pig Cause Autism?
2580	A student who was dissatisfied with her visual biology exam showed up her professor by responding with a zinger and a visual of her own.	The Tale of the Bird Foot Exam
8388	Some lego sets in the 1970s were accompanied with letters to parents encouraging gender equality in toy selection.	Lego Advocated Gender Equality in Toys … in 1974
889	A 12-year-old Afghan foster child in the U.K. turned out to be a 21-year-old trained 'jihadi.'	British Woman Discovers 12-Year-Old Afghan Foster Child Is 21-Year-Old Jihadi?
1727	A man who lost his arm in an accident failed to notice it until 40 minutes later.	Arm Lost in Accident
6214	Mafia neighbor helps burglary victims by effecting the return of their stolen goods.	Helpful Mafia Neighbor
3057	Account describes Pamela Murphy’s efforts on behalf of patients at a Veterans Administration hospital.	A Great Lady Has Passed — Pamela Murphy
10224	Whoopi Goldberg wore a shirt depicting violence against President Trump.	Did Whoopi Goldberg Wear a Violent Anti-Trump Shirt?
1772	A message provides useful instructions for cookomg corn on the cob in a portable picnic cooler.	Cooking Corn on the Cob in a Cooler
882	A 'quick-thinking mom' distracted a robber by performing a sex act on him in order to allow her family to safely escape.	Did a ‘Quick-Thinking’ Mom Save Her Family by Performing a Sex Act on a Robber?
7562	Prayers are needed for David Allen, a missionary serving in Thailand who is wasting away from an unknown disease.	David Allen Prayer Request
4581	Donald Trump retweeted a purported photograph of black supporters of his campaign, even though the depicted people aren't Trump fans.	Trump Retweets Fake Photograph of Black Supporters
1221	A Virginia man was washing machined to death.	Laundry Machine Death
4630	Donald Trump won 3,084 of America's 3,141 counties in the 2016 presidential election; Hillary Clinton won just 57.	Did Trump Win 3,084 of 3,141 Counties in 2016, While Clinton Won Only 57?
9639	The word ‘golf’ is an acronym formed from “gentlemen only; ladies forbidden.”	Golf: Gentlemen Only, Ladies Forbidden?
2541	A sneeze during a graduation ceremony prompted a response of ‘God bless you,’ thereby working a prohibited blessing into the proceedings.	The Sneeze
738	U.S. President Donald Trump has asked his advisers about the feasibility of stopping hurricanes with nuclear bombs.	Did Trump Ask Advisers About ‘Nuking’ Hurricanes?
747	"U.S. President Thomas Jefferson said: ""The government will one day be corrupt and filled with liars, and the people will flock to the one that tells the truth."""	Did Thomas Jefferson Say ‘The Government Will One Day Be Corrupt and Filled With Liars’?
1617	A list compiles Andy Rooney's wry observations on a variety of topics.	Andy Rooney on Everything
4660	Dr. Ben Carson announced that he plans to run for president in 2016.	Is Dr. Ben Carson Running for President in 2016?
9863	U.S. President Donald Trump said that suicide bombers should get the death penalty.	Did President Trump Say Suicide Bombers Should Get the Death Penalty?
5242	Gang members are painting their gun barrels orange so police will be hesitant to shoot at them.	Gangs Paint Gun Barrels Orange So Police Will Not Shoot Them?
4185	Circulating images depict a bloody Muslim ritual that took place in Atlanta.	Muslims in Atlanta Encourage Children to Mutilate Themselves with Knives?
5767	In a botched attempt to clarify his previous statements about Adolf Hitler and chemical weapons, Trump press secretary Sean Spicer said he meant Hitler never used them on 'fellow Germans.'	Did Sean Spicer Say Hitler Didn’t Use Chemical Weapons on ‘Fellow Germans’?
5383	Heather Bresch is the daughter of West Virgnia Democrat Joe Manchin.	Is Mylan CEO Heather Bresch the Daughter of W.V. Democratic Senator Joe Manchin?
1430	A famed college library is sinking into the ground because its architect failed to take the weight of the books into account.	The Sinking Library
7288	Photographs show a fishing boat capsized by a black marlin.	Black Marlin Sinks Fishing Boat
7913	Pyrex brand glass bakeware is now manufactured from a different material and is more susceptible to breakage.	Does Pyrex Brand Bakeware Shatter?
2362	A photograph shows the remains of an ancient tree trunk measuring more than two miles (3.2 km) wide.	Does This Photograph Document the Ancient Stump of a Giant Tree?
7945	Razor blades were discovered glued to playground equipment in a public park.	Razor Blades Found in Playground Equipment
2389	A photograph shows workmen who accidentally trapped their van within a barrier of bollards.	Does This Photograph Show a Workmen’s Van Trapped by Bollards?
3575	An unusual planetary alignment on 4 January 2015 will make people on Earth weigh less.	Planetary Alignment Decreases Gravity – Float for 5 Minutes!
5135	Former Fox News host Bill O'Reilly was found dead on Long Island.	Bill O’Reilly Found Dead at His Long Island Home?
7957	Red Bull energy drink contains a banned, government-manufactured stimulant linked to the formation of brain tumors.	Red Bull Is Dangerous?
2213	A photograph shows a purple horned winged lizard.	Is This a Purple Horned Winged Lizard?
339	Former president George H.W. Bush has passed away at age 94.	Former President George H.W. Bush Has Died
1625	A list of “Communist Rules for Revolution” was discovered by Allied forces in Germany in 1919.	Communist Rules for Revolution
8175	Scientists have found a drug that regenerates teeth, and it could leave dentists without work.	Scientists Discover a Drug That Regenerates Teeth?
5235	Gang initiates ask women for directions, then shoot them.	Gang Initiation – Ask Directions, Then Shoot
8428	Spraying a mixture of vinegar and water on your car's windshield will effectively help de-ice it.	Will a Vinegar and Water Mixture De-Ice Your Windshield?
5798	In the event of a hurricane, mobile phone users can update their voicemail greetings even if they lose WiFi and cellular service.	Can Mobile Phone Users Update Their Voicemail Greetings Without Cellular Service?
4548	Donald Trump donated food and supplies to Lumberton, North Carolina, and other towns ravaged by Hurricane Matthew.	Donald Trump Donated Food, Supplies to Victims of Hurricane Matthew in North Carolina
8743	The Canadian $2 bill (or $5 bill or $10 bill) depicts the U.S. flag flying over Parliament.	U.S. Flag on Canadian Currency
10145	Walt Disney was born in Robinson, Illinois, and named after a helpful townsperson who assisted his parents.	Was Walt Disney Born in Robinson, Illinois?
3473	An image from 2014 shows undocumented children separated from their parents by the Obama administration.	Were These Children Separated From Their Parents Under Obama?
1182	A Syrian refugee receives close to $400,000 in benefits a year from the German government in order to take care of his wives and children.	Does a ‘Muslim Migrant’ from Syria with Four Wives, 23 Children Receive $390,000 a Year in Benefits?
8381	Some children’s vinyl lunch boxes contain unsafe levels of lead.	Lunch Boxes and Lead
100	A study discovered men's beards are alarmingly riddled with fecal microbes.	Did a Study Find Men’s Beards Are Full of Fecal Matter?
4939	Evacuees from Louisiana, Mississippi, or Alabama can get two months’ of food stamps and free gasoline from the Texas DHHS by showing their driver’s licenses.	Texas Food Stamps
1515	A girl killed herself after her father posted something awful on her Facebook wall.	Girl Kills Herself Facebook Scam
2405	A planet-dissolving dust cloud will wipe out our solar system in December 2014.	Planet-Dissolving Dust Cloud Is Headed Toward Earth!
2372	A photograph shows two Boston Bruins fan holding a sign stating that they performed a sex act with player Tyler Seguin.	Boston Bruins Fan Sign
5618	Imbibers drink the liquor from a barrel used to preserve a dead body.	Body Found in Barrel
841	233 U.S. Representatives voted in April 2018 to use funds from Social Security's $2.9 trillion surplus in an effort to balance the budget.	Did 233 Representatives Vote to ‘Steal’ Social Security’s $2.9 Trillion Surplus?
9248	The city of Yreka, California, was named for a backwards bakery sign.	Place Name Origins: Yreka, California
4892	Electric fans left running overnight kill persons sleeping in the breeze they generate.	Korean Fan Death
5579	Image depicts 100,000 bikers in Washington, D.C. at a rally with Donald Trump.	Photograph Shows 100,000 Bikers at Rally with Donald Trump
4107	Changes coming to Social Security on 1 May 2016 'threaten the financial security' of millions of Americans.	Social Security Changes to Take Effect 1 May 2016
6959	Photograph from FOXNews web site depicting the New York City skyline the morning after the 2003 North American blackout includes a view of the World Trade Center towers.	2003 NYC Blackout Photo
8854	The Food Safety Modernization Act of 2009 would eliminate home gardens and put organic farmers out of business.	Food Safety Modernization Act of 2009
9434	The missiles displayed during a North Korean military parade were fake.	Did North Korea Display Fake Missiles During a Military Parade?
4779	E-mail compares George W. Bush's eco-friendly ranch with Al Gore's energy-expending mansion.	A Tale of Two Houses
3532	An increased number of men have contracted homosexuality after eating ‘pastel colored Easter eggs.’	Gays Are Lacing Easter Eggs with Homosexual-Inducing Food Colorings?
8486	Students and faculty at Oakland University were given hockey pucks to use in the event of a mass shooting attack.	Did a College Give Students Hockey Pucks to Use Against Mass Shootings?
6896	PayPal customers can claim a share of a class action lawsuit settlement.	PayPal Class Action Lawsuit
2325	A photograph shows people lining up outside a Houston, Texas shelter to turn in unwanted animals to be euthanized.	Does a Viral Image Show People Lining Up to Surrender Their Pets for Euthanasia?
8209	Sen. Lindsey Graham called President Donald Trump a 'race-baiting xenophobic bigot' in 2015 but in 2018 claimed that he had 'never heard him make a single racist statement.'	Did Sen. Lindsey Graham Call Trump a ‘Race-Baiting, Xenophobic Bigot’ in 2015?
8490	Students at a religious institute enrolled in a class on the life of Jesus arrive at their classroom to take the final exam and find a notice informing them that the test will be given in another building on the other side of the campus. As the students rush across campus to the new room, each is accosted by a forlorn beggar who entreats their help. None of the students stops for him, however — they all rush by, anxious to arrive on time for the exam.	Lesson in Compassion
5721	In June 2012, 79% of General Motors’ sales were made to the U.S. federal government.	General Motors Sales
10331	Young people are growing 'horns' in the base of their skulls from looking down at cellphone screens.	Are Cellphones Causing Horns to Grow from Young People’s Skulls?
2954	A woman named Catherine Elizabeth Clennan is genuinely seeking several million dollars via GoFundMe to live her dream life.	Is Catherine Elizabeth Clennan’s GoFundMe Campaign Authentic?
6143	Lightning struck a church after the preacher identified thunder as the voice of God during a sermon.	Lightning Strikes Church
10177	Web site provides listings of violent criminals residing in your neighborhood.	FelonSpy
7835	President Trump signed an executive order in March 2018 that grants veterans free health care at any hospital.	Did President Trump Sign an Executive Order Giving Veterans Free Care at Any Hospital?
5378	Having survived a horrific storm, a slave trader promptly gave up his livelihood, became a Christian, and penned the hymn ‘Amazing Grace’ in thanksgiving.	Amazing Grace
2716	A video shows Coretta Scott King thanking Jeff Sessions during her remarks at the dedication of the Rosa Parks Library.	Did Coretta Scott King Thank Jeff Sessions in a Speech?
8675	The 2007 film The Golden Compass is based on a series of books with anti-religious themes.	The Golden Compass
5011	Facebook removed an image of 'Little Timmy' saluting the United States flag because 'non-Americans' found it offensive.	Was ‘Little Timmy Salutes the Flag’ Banned by Facebook?
5584	Image depicts high school senior Chris Williams, shot nine times while protecting fellow students, leaving him in critical condition.	Was Parkland Student Chris Williams Shot While Saving Classmates?
4562	Donald Trump is considering resignation an 'option.'	Is President Donald Trump Considering Resignation?
4509	Dogs die after eating children’s stuffed toys that contain flame-retardant materials.	Dog Deaths from Chewing Stuffed Toys
2023	A photograph shows Mr. Peebles, the 'world's smallest cat.'	Mr. Peebles
5252	Gas stations are routinely imposing an extra $10 fee on credit card customers.	Gas Stations Charge Credit Card Users Extra
5438	Hillary Clinton supported and helped free two Black Panthers accused of torturing and murdering Alex Rackley.	Black Panthers
1026	A DNA test confirmed that actor Bryshere Y. Gray is the biological son of rap mogu Jay-Z.	Did DNA Confirm Hakeem from ‘Empire’ Is Jay-Z’s Biological Son?
9454	The new Canadian $10 bill is being recalled because it includes a misprint of the poem “In Flanders Fields.”	In Flanders Fields on Canadian $10 Bill
5424	Hillary Clinton refused to congratulate American gold medalist Ginny Thrasher.	Hillary Clinton Refused to Congratulate American Gold Medalist?
7198	Photograph shows the winner of a “World’s Ugliest Dog” contest.	World’s Ugliest Dog
2068	A photograph shows a 'lava moon' melting into a waterfall.	Is This a ‘Lava Moon’ Melting Into a Waterfall?
9851	U.S. News & World Report editor-in-chief Mortimer Zuckerman penned “The Fall of Barack Obama,” an editorial critical of President Obama.	The Fall of Barack Obama – Mortimer Zuckerman
4191	Civilians can send “thank you” messages to American troops through a Department of Defense web page.	Send Your Support to Troops
770	While greeting North Korean dignitaries during his summit meeting with Chairman Kim Jong Un, President Trump returned the military salute of a North Korean general.	Did President Donald Trump Salute a North Korean General?
9195	The artificial butter flavoring used in microwave popcorn poses a danger of lung damage to ordinary consumers.	Danger from Microwave Popcorn Butter Flavoring
4877	Editorial by Dr. Jack Wheeler describes Barack Obama as an 'eloquently tailored empty suit.'	Was Barack Obama Described as an ‘Empty Suit’?
1748	A member of the Black Lives Matter movement shot himself in the face while protesting Donald Trump's election with a selfie.	BLM ‘Thug’ Shoots Himself Taking Selfie with Gun in Protest of Trump
3733	Axel Springer CEO Mathias Döpfner wrote an editorial for Die Welt blasting Europe for its timidity in confronting Islamic fanaticism.	Mathias Dopfner on Europe Cowardice
10189	Whataburger is holding a 'Dollar Burger Day' promotion on 29 March 2016.	Whataburger ‘Dollar Burger Day’ Promotion
3738	Babies born in-flight are given free air travel by the airline for the rest of their lives.	Babies Born In-Flight Get Free Air Travel for Life?
6750	Old photographs show John Travolta and Nicolas Cage look-alikes.	Nicolas Cage and John Travolta
7535	Pope Francis said that it was 'better to be an atheist than a bad Catholic.'	Did Pope Francis Say It Was Better to Be an Atheist Than a Bad Catholic?
7206	Photograph taken in  west Texas shows a tornado funnel and lightning bolt alongside a drilling rig.	Drilling Rig Tornado
3390	An air traveler was arrested for ejaculating during a TSA patdown.	Man Arrested After Ejaculating During TSA Pat-Down
5959	John Kerry suggested that the media cover acts of terrorism less often, and perhaps people might not 'know what's going on.'	John Kerry Suggests Media Cover Terrorism Less
4640	Donald Trump's father, Fred Trump, ran a mayoral campaign advertisement called 'Dope Man' in 1969.	Did Fred Trump Run a Campaign Advertisement Called ‘Dope Man’ in 1969?
10094	Vincent Ghambi, a Malawian defense minister, sent a sex tape to pop superstar Beyoncé Knowles.	Malawian Minister Sent Pornographic Video to Beyoncé?
6827	Over the course of his career, Democratic Congressman Joe Kennedy has received $348,000 in campaign contributions from the pharmaceutical industry.	Has Rep. Joe Kennedy Received $348,000 in Donations from the Pharmaceutical Industry?
6874	Pat Robertson claimed David Bowie wasn't dead, but instead that 'demons kidnapped him to entertain them in Hell.'	Pat Robertson Says David Bowie Isn’t Dead?
1519	A girl required surgery after swallowing a wire that had come loose from a barbeque grill cleaning brush and was cooked into a hamburger.	Grill Cleaning Accident
1304	A case of the runs led to one of Raiders of the Lost Ark’s most memorable scenes.	Raiders of the Lost Ark
944	A 2-year-old girl named Kaydance Bearden was kidnapped from her Arkansas home.	Missing Persons: Kaydance Bearden
5786	In one of his films, actor Tony Curtis delivered the line, “Yondah lies da castle of my foddah.”	Yonder Lies the Castle of My Father
5316	Golfer who sticks his scrotum into a ball washer is horribly injured.	Caught in the Ball Washer
1387	A damaged nuclear reactor at Fukushima Daiichi is about to fall into the ocean.	Is a Damaged Fukushima Nuclear Reactor About to Fall Into the Ocean?
7732	President Obama issued a ‘gag order’ on insurance rates for 2015 until after the midterm elections.	Obama Issued a Gag Order on Insurance Rates Until After the Election?
2206	A photograph shows a person giving a 'shaka' sign to a whale.	Photograph Shows Swimmer Giving ‘Shaka’ Sign to a Diving Whale
3605	Anti-Trump protesters beat a homeless veteran to death in Philadelphia.	Protesters Beat Homeless Veteran to Death in Philadelphia
5577	Image contrasts photographs of Mitt Romney and Barack Obama.	Mitt Romney Shoeshine Photo
9933	UGGs is giving away free pairs of boots to Facebook users.	Free Uggs Scam
5398	Hilarity ensues when a clueless car owner misreads the model name of the family car.	Misunderstood Car Names
9713	Thousands of people were scammed out of millions of dollars in a “miracle cars” fraud.	Miracle Cars Fraud
